Magnetic_field(Tesla)   C1   C2   POL(%)
-1.00000000 36754.00000000 31161.00000000 -8.23529412
-0.75000000 31827.00000000 27230.00000000 -7.78400528
-0.50000000 24114.00000000 21506.00000000 -5.71679088
-0.30000000 19620.00000000 18196.00000000 -3.76560186
-0.20000000 18078.00000000 16780.00000000 -3.72367893
-0.15000000 17134.00000000 15570.00000000 -4.78228963
-0.10000000 16368.00000000 14968.00000000 -4.46770488
-0.05000000 15454.00000000 13734.00000000 -5.89283267
-0.02000000 14688.00000000 13499.00000000 -4.21825664
0.00000000 14744.00000000 13389.00000000 -4.81640778
0.02000000 14473.00000000 13169.00000000 -4.71745894
0.05000000 14626.00000000 13703.00000000 -3.25814536
0.10000000 15115.00000000 14423.00000000 -2.34274494
0.15000000 15700.00000000 14991.00000000 -2.31012349
0.20000000 16036.00000000 15696.00000000 -1.07147359
0.30000000 16989.00000000 16974.00000000 -0.04416571
0.50000000 19332.00000000 20069.00000000 1.87051090
0.75000000 24519.00000000 26617.00000000 4.10278473
1.00000000 28966.00000000 32951.00000000 6.43603534
