T_set(K) T_real(K) X1(V) Y1(V) R1(V) Theta1(deg) X2(V) Y2(V) R2(V) Theta2(deg)
2.11 2.08 0.00208284 -3.2902e-05 0.00208308 -0.9 0.0423872 0.0 0.0423872 0.0 
2.89 2.97 0.00207998 -3.2902e-05 0.00208046 -0.9 0.0423529 0.0 0.0423529 0.0 
3.75 3.9 0.00207807 -3.2902e-05 0.00207831 -0.906 0.0423224 0.0 0.0423224 0.0 
4.68 5.07 0.00207664 -3.24252e-05 0.00207688 -0.894 0.0422957 0.0 0.0422957 0.0 
5.58 6.03 0.00207521 -3.2902e-05 0.00207569 -0.9 0.0422785 0.0 0.0422785 0.0 
6.19 6.46 0.00207473 -3.21867e-05 0.00207497 -0.888 0.0422709 0.0 0.0422709 0.0 
6.94 7.13 0.00207402 -3.26636e-05 0.00207426 -0.9 0.0422652 0.0 0.0422652 0.0 
8.26 8.89 0.00207378 -3.26636e-05 0.00207402 -0.9 0.0422518 0.0 0.0422518 0.0 
9.16 9.81 0.00207354 -3.26636e-05 0.00207378 -0.9 0.0422499 0.0 0.0422499 0.0 
10.06 10.74 0.00207259 -3.2902e-05 0.00207283 -0.906 0.0422518 0.0 0.0422518 0.0 
10.92 11.34 0.00207283 -3.2902e-05 0.00207306 -0.906 0.0422556 0.0 0.0422556 0.0 
11.86 12.3 0.00207092 -3.2902e-05 0.00207116 -0.906 0.0422652 0.0 0.0422652 0.0 
12.77 13.17 0.00207116 -3.26636e-05 0.0020714 -0.9 0.0422785 0.0 0.0422785 0.0 
13.66 13.98 0.00207163 -3.2902e-05 0.00207187 -0.906 0.0422919 0.0 0.0422919 0.0 
14.56 15.47 0.0020714 -3.26636e-05 0.00207187 -0.9 0.0423186 0.0 0.0423186 0.0 
15.44 15.91 0.00207211 -3.2902e-05 0.00207235 -0.906 0.0423281 0.0 0.0423281 0.0 
16.34 16.49 0.00207211 -3.21867e-05 0.00207235 -0.888 0.0423396 0.0 0.0423396 0.0 
17.23 17.11 0.00207283 -3.26636e-05 0.00207306 -0.9 0.0423548 0.0 0.0423548 0.0 
18.13 17.68 0.00207259 -3.26636e-05 0.00207283 -0.9 0.0423739 0.0 0.0423739 0.0 
19.04 18.6 0.00207354 -3.26636e-05 0.00207402 -0.9 0.0423949 0.0 0.0423949 0.0 
19.93 19.31 0.00207402 -3.26636e-05 0.00207449 -0.9 0.0424159 0.0 0.0424159 0.0 
20.84 20.02 0.00207426 -3.21867e-05 0.00207449 -0.888 0.0424368 0.0 0.0424368 0.0 
21.72 20.86 0.00207497 -3.2902e-05 0.00207521 -0.9 0.0424635 0.0 0.0424635 0.0 
22.63 22.6 0.00207664 -3.21867e-05 0.00207688 -0.888 0.0425417 0.0 0.0425417 0.0 
23.44 23.24 0.00207688 -3.26636e-05 0.00207712 -0.894 0.0425589 0.0 0.0425589 0.0 
24.41 23.9 0.00207688 -3.24252e-05 0.00207736 -0.894 0.042578 0.0 0.042578 0.0 
25.31 25.28 0.00207879 -3.24252e-05 0.00207902 -0.894 0.0426466 0.0 0.0426466 0.0 
26.21 25.64 0.00207831 -3.21867e-05 0.00207831 -0.888 0.0426657 0.0 0.0426657 0.0 
27.12 26.34 0.00207902 -3.26636e-05 0.0020795 -0.894 0.0426867 0.0 0.0426867 0.0 
27.8 26.99 0.00207902 -3.2902e-05 0.0020795 -0.9 0.0427058 -1.90736e-06 0.0427058 0.0 
28.91 27.37 0.0020795 -3.21867e-05 0.00207974 -0.888 0.0427325 0.0 0.0427325 0.0 
29.79 29.08 0.00208141 -3.2902e-05 0.00208165 -0.9 0.0428259 -1.90736e-06 0.0428259 0.0 
29.75 29.22 0.00208141 -3.2902e-05 0.00208165 -0.9 0.0428298 -1.90736e-06 0.0428298 0.0 
31.58 30.26 0.00208189 -3.21867e-05 0.00208212 -0.888 0.042866 0.0 0.042866 0.0 
32.47 30.63 0.00208236 -3.2902e-05 0.00208284 -0.9 0.0428889 -1.90736e-06 0.0428889 0.0 
32.89 30.92 0.00208284 -3.26636e-05 0.00208308 -0.894 0.0429022 0.0 0.0429022 0.0 
34.27 33.32 0.00208451 -3.24252e-05 0.00208475 -0.888 0.0430205 0.0 0.0430205 0.0 
35.15 34.76 0.0020857 -3.21867e-05 0.00208594 -0.876 0.0431139 -1.90736e-06 0.0431139 0.0 
36.06 34.76 0.00208642 -3.24252e-05 0.00208665 -0.888 0.0431368 -1.90736e-06 0.0431368 0.0 
36.41 35.26 0.00208618 -3.2902e-05 0.00208642 -0.9 0.0431483 -1.90736e-06 0.0431483 0.0 
