Wavelenght(nm)   C1   C2   POL(%)
540.00000000 2074.00000000 2267.00000000 4.44598019
542.00000000 2042.00000000 2147.00000000 2.50656481
544.00000000 1918.00000000 2182.00000000 6.43902439
546.00000000 1977.00000000 2130.00000000 3.72534697
548.00000000 1886.00000000 2113.00000000 5.67641910
550.00000000 1917.00000000 2026.00000000 2.76439259
552.00000000 1816.00000000 2038.00000000 5.76024909
554.00000000 1718.00000000 1926.00000000 5.70801317
556.00000000 1648.00000000 1916.00000000 7.51964085
558.00000000 1677.00000000 1944.00000000 7.37365369
560.00000000 1672.00000000 1857.00000000 5.24227827
562.00000000 1533.00000000 1894.00000000 10.53399475
564.00000000 1634.00000000 1818.00000000 5.33024334
566.00000000 1613.00000000 1814.00000000 5.86518821
568.00000000 1646.00000000 1757.00000000 3.26182780
570.00000000 1558.00000000 1791.00000000 6.95730069
572.00000000 1555.00000000 1821.00000000 7.87914692
574.00000000 1558.00000000 1763.00000000 6.17283951
576.00000000 1658.00000000 1870.00000000 6.00907029
578.00000000 1611.00000000 1831.00000000 6.39163277
580.00000000 1643.00000000 1726.00000000 2.46363906
582.00000000 1573.00000000 1789.00000000 6.42474717
584.00000000 1600.00000000 1735.00000000 4.04797601
586.00000000 1548.00000000 1757.00000000 6.32375189
588.00000000 1518.00000000 1618.00000000 3.18877551
590.00000000 1436.00000000 1581.00000000 4.80609877
592.00000000 1397.00000000 1532.00000000 4.60908160
594.00000000 1239.00000000 1446.00000000 7.70949721
596.00000000 1206.00000000 1370.00000000 6.36645963
598.00000000 1153.00000000 1282.00000000 5.29774127
600.00000000 1042.00000000 1177.00000000 6.08382154
602.00000000 1016.00000000 1092.00000000 3.60531309
604.00000000 851.00000000 1038.00000000 9.89941768
606.00000000 892.00000000 947.00000000 2.99075585
608.00000000 793.00000000 902.00000000 6.43067847
610.00000000 790.00000000 870.00000000 4.81927711
612.00000000 692.00000000 805.00000000 7.54843019
614.00000000 660.00000000 757.00000000 6.84544813
616.00000000 612.00000000 725.00000000 8.45175767
618.00000000 609.00000000 713.00000000 7.86686838
620.00000000 589.00000000 663.00000000 5.91054313
622.00000000 527.00000000 594.00000000 5.97680642
624.00000000 504.00000000 583.00000000 7.26770929
626.00000000 499.00000000 599.00000000 9.10746812
628.00000000 440.00000000 512.00000000 7.56302521
630.00000000 455.00000000 522.00000000 6.85772774
632.00000000 458.00000000 493.00000000 3.68033649
634.00000000 451.00000000 481.00000000 3.21888412
636.00000000 424.00000000 514.00000000 9.59488273
638.00000000 466.00000000 527.00000000 6.14300101
640.00000000 422.00000000 533.00000000 11.62303665
