Magnetic_field(Tesla)   C1   C2   POL(%)
1.00000000 60779.00000000 61519.00000000 0.60507940
0.75000000 66516.00000000 67710.00000000 0.88954450
0.50000000 60004.00000000 61656.00000000 1.35788262
0.30000000 51682.00000000 52686.00000000 0.96198068
0.20000000 47375.00000000 48936.00000000 1.62079098
0.15000000 46183.00000000 47438.00000000 1.34051121
0.10000000 44365.00000000 46796.00000000 2.66671055
0.05000000 43849.00000000 46164.00000000 2.57185073
0.02000000 43883.00000000 47130.00000000 3.56762221
-0.00000000 42782.00000000 46600.00000000 4.27155356
-0.02000000 42930.00000000 46916.00000000 4.43648020
-0.05000000 42907.00000000 45113.00000000 2.50624858
-0.10000000 43417.00000000 44777.00000000 1.54205502
-0.15000000 44590.00000000 45005.00000000 0.46319549
-0.20000000 46056.00000000 46680.00000000 0.67287785
-0.30000000 49984.00000000 49658.00000000 -0.32717127
-0.50000000 58663.00000000 57434.00000000 -1.05859755
-0.75000000 64129.00000000 63150.00000000 -0.76917638
-1.00000000 57123.00000000 55734.00000000 -1.23076105
