C1(Hz)   C2(Hz)   pol(%)
1.210000000000000000e+02 1.120000000000000000e+02 -3.862660944206008917e+00
1.150000000000000000e+02 1.320000000000000000e+02 6.882591093117408576e+00
1.470000000000000000e+02 1.380000000000000000e+02 -3.157894736842105310e+00
1.100000000000000000e+02 1.210000000000000000e+02 4.761904761904761862e+00
1.270000000000000000e+02 1.150000000000000000e+02 -4.958677685950413583e+00
1.300000000000000000e+02 1.260000000000000000e+02 -1.562500000000000000e+00
1.180000000000000000e+02 1.100000000000000000e+02 -3.508771929824561209e+00
1.220000000000000000e+02 1.260000000000000000e+02 1.612903225806451513e+00
1.200000000000000000e+02 1.220000000000000000e+02 8.264462809917355601e-01
1.300000000000000000e+02 1.280000000000000000e+02 -7.751937984496124479e-01
1.460000000000000000e+02 1.210000000000000000e+02 -9.363295880149813399e+00
1.320000000000000000e+02 1.250000000000000000e+02 -2.723735408560311377e+00
1.290000000000000000e+02 1.230000000000000000e+02 -2.380952380952380931e+00
1.100000000000000000e+02 1.230000000000000000e+02 5.579399141630901227e+00
1.150000000000000000e+02 1.130000000000000000e+02 -8.771929824561403022e-01
1.150000000000000000e+02 1.200000000000000000e+02 2.127659574468085069e+00
1.030000000000000000e+02 1.240000000000000000e+02 9.251101321585903037e+00
1.170000000000000000e+02 1.140000000000000000e+02 -1.298701298701298690e+00
1.290000000000000000e+02 1.170000000000000000e+02 -4.878048780487804770e+00
1.320000000000000000e+02 1.190000000000000000e+02 -5.179282868525896255e+00
1.140000000000000000e+02 1.240000000000000000e+02 4.201680672268907735e+00
1.030000000000000000e+02 1.050000000000000000e+02 9.615384615384615641e-01
1.290000000000000000e+02 1.270000000000000000e+02 -7.812500000000000000e-01
1.250000000000000000e+02 1.220000000000000000e+02 -1.214574898785425017e+00
1.600000000000000000e+02 1.150000000000000000e+02 -1.636363636363636331e+01
1.130000000000000000e+02 1.180000000000000000e+02 2.164502164502164483e+00
1.210000000000000000e+02 1.190000000000000000e+02 -8.333333333333333703e-01
1.230000000000000000e+02 1.140000000000000000e+02 -3.797468354430380000e+00
1.260000000000000000e+02 1.290000000000000000e+02 1.176470588235294157e+00
1.120000000000000000e+02 1.270000000000000000e+02 6.276150627615062483e+00
1.140000000000000000e+02 1.260000000000000000e+02 5.000000000000000000e+00
1.180000000000000000e+02 1.340000000000000000e+02 6.349206349206348854e+00
1.190000000000000000e+02 1.320000000000000000e+02 5.179282868525896255e+00
1.300000000000000000e+02 1.130000000000000000e+02 -6.995884773662551126e+00
1.190000000000000000e+02 1.360000000000000000e+02 6.666666666666666963e+00
1.230000000000000000e+02 1.220000000000000000e+02 -4.081632653061224580e-01
1.380000000000000000e+02 1.290000000000000000e+02 -3.370786516853932380e+00
1.230000000000000000e+02 1.260000000000000000e+02 1.204819277108433839e+00
1.190000000000000000e+02 1.130000000000000000e+02 -2.586206896551724199e+00
1.250000000000000000e+02 1.380000000000000000e+02 4.942965779467680676e+00
9.700000000000000000e+01 1.250000000000000000e+02 1.261261261261261168e+01
1.270000000000000000e+02 1.260000000000000000e+02 -3.952569169960474249e-01
1.270000000000000000e+02 1.380000000000000000e+02 4.150943396226415061e+00
1.370000000000000000e+02 1.270000000000000000e+02 -3.787878787878788067e+00
1.240000000000000000e+02 1.330000000000000000e+02 3.501945525291828787e+00
1.100000000000000000e+02 1.200000000000000000e+02 4.347826086956521507e+00
1.330000000000000000e+02 1.210000000000000000e+02 -4.724409448818897239e+00
1.390000000000000000e+02 1.250000000000000000e+02 -5.303030303030302761e+00
1.460000000000000000e+02 1.490000000000000000e+02 1.016949152542372836e+00
1.230000000000000000e+02 1.340000000000000000e+02 4.280155642023346196e+00
1.200000000000000000e+02 1.400000000000000000e+02 7.692307692307692513e+00
1.300000000000000000e+02 1.130000000000000000e+02 -6.995884773662551126e+00
1.270000000000000000e+02 1.350000000000000000e+02 3.053435114503816550e+00
1.220000000000000000e+02 1.330000000000000000e+02 4.313725490196078205e+00
1.160000000000000000e+02 1.360000000000000000e+02 7.936507936507935845e+00
1.460000000000000000e+02 1.260000000000000000e+02 -7.352941176470588758e+00
1.270000000000000000e+02 1.320000000000000000e+02 1.930501930501930419e+00
9.900000000000000000e+01 1.250000000000000000e+02 1.160714285714285765e+01
1.250000000000000000e+02 1.230000000000000000e+02 -8.064516129032257563e-01
1.160000000000000000e+02 1.210000000000000000e+02 2.109704641350210963e+00
1.230000000000000000e+02 1.490000000000000000e+02 9.558823529411764497e+00
1.640000000000000000e+02 1.650000000000000000e+02 3.039513677811550019e-01
1.310000000000000000e+02 1.200000000000000000e+02 -4.382470119521912899e+00
1.400000000000000000e+02 1.450000000000000000e+02 1.754385964912280604e+00
1.450000000000000000e+02 1.260000000000000000e+02 -7.011070110701106195e+00
1.330000000000000000e+02 1.130000000000000000e+02 -8.130081300813007061e+00
1.550000000000000000e+02 1.390000000000000000e+02 -5.442176870748299145e+00
1.210000000000000000e+02 1.340000000000000000e+02 5.098039215686274161e+00
1.380000000000000000e+02 1.670000000000000000e+02 9.508196721311474420e+00
1.540000000000000000e+02 1.500000000000000000e+02 -1.315789473684210398e+00
1.110000000000000000e+02 1.260000000000000000e+02 6.329113924050632889e+00
1.580000000000000000e+02 1.750000000000000000e+02 5.105105105105105068e+00
1.270000000000000000e+02 1.250000000000000000e+02 -7.936507936507936067e-01
1.370000000000000000e+02 1.670000000000000000e+02 9.868421052631578760e+00
1.330000000000000000e+02 1.540000000000000000e+02 7.317073170731706711e+00
1.230000000000000000e+02 1.240000000000000000e+02 4.048582995951416907e-01
1.760000000000000000e+02 1.700000000000000000e+02 -1.734104046242774366e+00
1.580000000000000000e+02 1.660000000000000000e+02 2.469135802469135665e+00
1.310000000000000000e+02 1.330000000000000000e+02 7.575757575757575690e-01
1.860000000000000000e+02 2.030000000000000000e+02 4.370179948586118357e+00
1.220000000000000000e+02 1.310000000000000000e+02 3.557312252964427213e+00
4.190000000000000000e+02 4.220000000000000000e+02 3.567181926278240045e-01
1.820000000000000000e+02 2.030000000000000000e+02 5.454545454545454142e+00
1.040000000000000000e+02 1.380000000000000000e+02 1.404958677685950441e+01
3.350000000000000000e+02 3.680000000000000000e+02 4.694167852062588686e+00
1.210000000000000000e+02 1.350000000000000000e+02 5.468750000000000000e+00
1.370000000000000000e+02 1.510000000000000000e+02 4.861111111111111605e+00
1.300000000000000000e+02 1.400000000000000000e+02 3.703703703703703276e+00
1.440000000000000000e+02 1.500000000000000000e+02 2.040816326530612290e+00
1.530000000000000000e+02 1.250000000000000000e+02 -1.007194244604316502e+01
1.090000000000000000e+02 1.110000000000000000e+02 9.090909090909090606e-01
1.180000000000000000e+02 1.180000000000000000e+02 0.000000000000000000e+00
1.300000000000000000e+02 1.300000000000000000e+02 0.000000000000000000e+00
1.330000000000000000e+02 1.100000000000000000e+02 -9.465020576131687235e+00
1.260000000000000000e+02 1.350000000000000000e+02 3.448275862068965303e+00
1.380000000000000000e+02 1.140000000000000000e+02 -9.523809523809523725e+00
1.210000000000000000e+02 1.260000000000000000e+02 2.024291497975708509e+00
1.650000000000000000e+02 1.220000000000000000e+02 -1.498257839721254214e+01
1.270000000000000000e+02 1.180000000000000000e+02 -3.673469387755102566e+00
1.270000000000000000e+02 1.120000000000000000e+02 -6.276150627615062483e+00
1.220000000000000000e+02 1.060000000000000000e+02 -7.017543859649122417e+00
1.130000000000000000e+02 1.240000000000000000e+02 4.641350210970464296e+00
1.270000000000000000e+02 1.240000000000000000e+02 -1.195219123505976144e+00
1.200000000000000000e+02 1.240000000000000000e+02 1.639344262295082011e+00
1.260000000000000000e+02 1.380000000000000000e+02 4.545454545454545858e+00
1.150000000000000000e+02 1.150000000000000000e+02 0.000000000000000000e+00
1.330000000000000000e+02 1.200000000000000000e+02 -5.138339920948617134e+00
1.270000000000000000e+02 1.430000000000000000e+02 5.925925925925926485e+00
1.220000000000000000e+02 1.290000000000000000e+02 2.788844621513943967e+00
1.300000000000000000e+02 1.110000000000000000e+02 -7.883817427385891641e+00
