T_set(K) T_real(K) X(V) Y(V) R(V) Theta(deg)
99.06 115.04 0.0424521 -1.52589e-05 0.0424521 -0.018 
99.05 115.53 0.0424521 -1.52589e-05 0.0424521 -0.018 
99.03 115.2 0.0424502 -1.52589e-05 0.0424502 -0.018 
99.02 115.53 0.0424502 -1.52589e-05 0.0424502 -0.018 
99.0 115.53 0.0424502 -1.52589e-05 0.0424502 -0.018 
98.98 115.53 0.0424502 -1.52589e-05 0.0424502 -0.018 
98.97 115.2 0.0424502 -1.52589e-05 0.0424502 -0.018 
98.96 114.99 0.0424502 -1.52589e-05 0.0424502 -0.018 
98.94 114.99 0.0424502 -1.52589e-05 0.0424502 -0.018 
98.93 114.99 0.0424502 -1.52589e-05 0.0424502 -0.018 
98.91 114.99 0.0424483 -1.52589e-05 0.0424483 -0.018 
98.9 114.44 0.0424483 -1.52589e-05 0.0424483 -0.018 
98.89 114.44 0.0424483 -1.52589e-05 0.0424483 -0.018 
98.87 114.44 0.0424464 -1.52589e-05 0.0424464 -0.018 
98.86 114.44 0.0424464 -1.52589e-05 0.0424464 -0.018 
98.84 114.44 0.0424483 -1.52589e-05 0.0424483 -0.018 
98.83 114.23 0.0424483 -1.52589e-05 0.0424483 -0.018 
98.82 114.44 0.0424464 -1.52589e-05 0.0424464 -0.018 
98.8 114.44 0.0424464 -1.52589e-05 0.0424464 -0.018 
98.79 114.44 0.0424464 -1.52589e-05 0.0424464 -0.018 
98.77 114.44 0.0424464 -1.52589e-05 0.0424464 -0.018 
98.76 114.44 0.0424464 -1.52589e-05 0.0424464 -0.018 
98.75 114.44 0.0424445 -1.52589e-05 0.0424445 -0.018 
98.73 114.44 0.0424445 -1.52589e-05 0.0424445 -0.018 
98.72 114.44 0.0424445 -1.52589e-05 0.0424445 -0.018 
98.7 114.44 0.0424445 -1.52589e-05 0.0424445 -0.018 
98.69 114.44 0.0424445 -1.52589e-05 0.0424445 -0.018 
98.67 114.44 0.0424426 -1.52589e-05 0.0424426 -0.018 
98.66 114.44 0.0424407 -1.52589e-05 0.0424407 -0.018 
98.65 114.44 0.0424426 -1.52589e-05 0.0424426 -0.018 
98.63 114.88 0.0424407 -1.52589e-05 0.0424407 -0.018 
98.62 114.66 0.0424407 -1.52589e-05 0.0424407 -0.018 
98.6 114.77 0.0424407 -1.52589e-05 0.0424407 -0.018 
98.58 114.5 0.0424387 -1.52589e-05 0.0424387 -0.018 
98.56 114.66 0.0424387 -1.52589e-05 0.0424387 -0.018 
98.55 114.44 0.0424387 -1.52589e-05 0.0424387 -0.018 
98.54 114.44 0.0424387 -1.52589e-05 0.0424387 -0.018 
98.53 114.44 0.0424387 -1.52589e-05 0.0424387 -0.018 
98.51 114.44 0.0424368 -1.52589e-05 0.0424368 -0.018 
98.49 114.44 0.0424368 -1.52589e-05 0.0424368 -0.018 
101.0 114.44 0.0424368 -1.52589e-05 0.0424368 -0.018 
98.47 114.39 0.0424368 -1.52589e-05 0.0424368 -0.018 
98.46 113.9 0.0424368 -1.52589e-05 0.0424368 -0.018 
98.44 113.9 0.0424368 -1.52589e-05 0.0424368 -0.018 
98.42 113.9 0.0424368 -1.52589e-05 0.0424368 -0.018 
98.41 113.9 0.0424368 -1.52589e-05 0.0424368 -0.018 
98.4 113.9 0.0424368 -1.52589e-05 0.0424368 -0.018 
98.38 113.9 0.0424349 -1.52589e-05 0.0424349 -0.018 
98.37 113.96 0.0424368 -1.52589e-05 0.0424368 -0.018 
98.36 113.9 0.0424349 -1.52589e-05 0.0424349 -0.018 
98.35 113.9 0.0424349 -1.52589e-05 0.0424349 -0.018 
98.33 114.17 0.0424311 -1.52589e-05 0.0424311 -0.018 
98.31 114.23 0.0424273 -1.52589e-05 0.0424273 -0.018 
98.29 114.44 0.0424235 -1.52589e-05 0.0424235 -0.018 
98.27 114.23 0.0424216 -1.52589e-05 0.0424216 -0.018 
98.25 114.01 0.0424178 -1.52589e-05 0.0424178 -0.018 
98.22 114.23 0.042412 -1.52589e-05 0.042412 -0.018 
98.19 113.9 0.0424082 -1.52589e-05 0.0424082 -0.018 
98.17 113.9 0.0424063 -1.52589e-05 0.0424063 -0.018 
98.14 113.9 0.0424025 -1.52589e-05 0.0424025 -0.018 
98.11 113.9 0.0423987 -1.52589e-05 0.0423987 -0.018 
98.08 113.9 0.0423968 -1.52589e-05 0.0423968 -0.018 
98.04 113.9 0.0423949 -1.52589e-05 0.0423949 -0.018 
98.01 113.9 0.042393 -1.52589e-05 0.042393 -0.018 
97.98 113.9 0.0423911 -1.52589e-05 0.0423911 -0.018 
97.95 113.9 0.0423892 -1.52589e-05 0.0423892 -0.018 
97.92 113.9 0.0423872 -1.52589e-05 0.0423872 -0.018 
97.89 114.12 0.0423853 -1.52589e-05 0.0423853 -0.018 
97.86 114.39 0.0423815 -1.52589e-05 0.0423815 -0.018 
97.83 114.44 0.0423758 -1.52589e-05 0.0423758 -0.018 
97.8 114.44 0.0423701 -1.52589e-05 0.0423701 -0.018 
97.76 114.44 0.0423663 -1.52589e-05 0.0423663 -0.018 
1.0 114.44 0.0423644 -1.52589e-05 0.0423644 -0.018 
97.69 114.44 0.0423605 -1.52589e-05 0.0423605 -0.018 
97.66 114.44 0.0423586 -1.52589e-05 0.0423586 -0.018 
97.62 114.44 0.0423567 -1.52589e-05 0.0423567 -0.018 
97.59 114.44 0.0423548 -1.52589e-05 0.0423548 -0.018 
97.55 114.44 0.042351 -1.52589e-05 0.042351 -0.018 
97.52 114.44 0.0423491 -1.52589e-05 0.0423491 -0.018 
97.48 114.44 0.0423453 -1.52589e-05 0.0423453 -0.018 
97.45 114.44 0.0423434 -1.52589e-05 0.0423434 -0.018 
97.41 114.44 0.0423434 -1.52589e-05 0.0423434 -0.018 
97.38 114.44 0.0423415 -1.52589e-05 0.0423415 -0.018 
97.34 114.44 0.0423396 -1.52589e-05 0.0423396 -0.018 
97.3 114.44 0.0423377 -1.52589e-05 0.0423377 -0.018 
97.27 114.44 0.0423357 -1.52589e-05 0.0423357 -0.018 
97.23 113.96 0.0423357 -1.52589e-05 0.0423357 -0.018 
97.2 113.9 0.0423338 -1.52589e-05 0.0423338 -0.018 
97.16 113.9 0.0423319 -1.52589e-05 0.0423319 -0.018 
97.13 113.9 0.04233 -1.52589e-05 0.04233 -0.018 
97.09 113.37 0.04233 -1.52589e-05 0.04233 -0.018 
97.06 113.37 0.04233 -1.52589e-05 0.04233 -0.018 
97.02 113.37 0.04233 -1.52589e-05 0.04233 -0.018 
96.99 113.15 0.0423281 -1.52589e-05 0.0423281 -0.018 
96.95 113.37 0.0423262 -1.52589e-05 0.0423262 -0.018 
96.92 113.37 0.0423262 -1.52589e-05 0.0423262 -0.018 
96.88 113.37 0.0423243 -1.52589e-05 0.0423243 -0.018 
96.85 113.9 0.0423243 -1.52589e-05 0.0423243 -0.018 
96.81 113.9 0.0423224 -1.52589e-05 0.0423224 -0.018 
96.78 113.9 0.0423224 -1.52589e-05 0.0423224 -0.018 
96.74 113.9 0.0423205 -1.52589e-05 0.0423205 -0.018 
96.7 113.9 0.0423205 -1.52589e-05 0.0423205 -0.018 
96.67 113.37 0.0423205 -1.52589e-05 0.0423205 -0.018 
96.64 113.37 0.0423186 -1.52589e-05 0.0423186 -0.018 
96.6 112.88 0.0423186 -1.52589e-05 0.0423186 -0.018 
96.56 112.83 0.0423186 -1.52589e-05 0.0423186 -0.018 
96.53 112.83 0.0423167 -1.52589e-05 0.0423167 -0.018 
96.49 113.37 0.0423167 -1.52589e-05 0.0423167 -0.018 
96.46 113.37 0.0423167 -1.52589e-05 0.0423167 -0.018 
96.43 113.58 0.0423148 -1.52589e-05 0.0423148 -0.018 
96.39 113.9 0.0423148 -1.52589e-05 0.0423148 -0.018 
96.36 113.9 0.0423129 -1.52589e-05 0.0423129 -0.018 
96.33 113.9 0.0423129 -1.52589e-05 0.0423129 -0.018 
96.29 113.69 0.042311 -1.52589e-05 0.042311 -0.018 
96.25 113.37 0.0423052 -1.52589e-05 0.0423052 -0.018 
96.22 112.94 0.0422938 -1.52589e-05 0.0422938 -0.018 
96.18 112.83 0.0422785 -1.52589e-05 0.0422785 -0.018 
96.14 112.41 0.0422652 -1.52589e-05 0.0422652 -0.018 
96.1 112.3 0.0422537 -1.52589e-05 0.0422537 -0.018 
96.04 112.3 0.0422461 -1.52589e-05 0.0422461 -0.018 
95.98 112.3 0.0422385 -1.52589e-05 0.0422385 -0.018 
95.92 112.3 0.0422347 -1.52589e-05 0.0422347 -0.018 
95.86 112.3 0.0422289 -1.52589e-05 0.0422289 -0.018 
95.8 112.3 0.0422251 -1.52589e-05 0.0422251 -0.018 
95.74 111.77 0.0422232 -1.52589e-05 0.0422232 -0.018 
95.69 111.77 0.0422194 -1.52589e-05 0.0422194 -0.018 
95.62 111.24 0.0422156 -1.52589e-05 0.0422156 -0.018 
95.56 111.24 0.0422156 -1.52589e-05 0.0422156 -0.018 
95.5 110.72 0.0422518 -1.52589e-05 0.0422518 -0.018 
95.44 110.72 0.0422766 -1.52589e-05 0.0422766 -0.018 
95.39 110.72 0.0422785 -1.52589e-05 0.0422785 -0.018 
95.33 110.72 0.0422766 -1.52589e-05 0.0422766 -0.018 
95.27 110.19 0.0422747 -1.52589e-05 0.0422747 -0.018 
95.21 110.19 0.0422728 -1.52589e-05 0.0422728 -0.018 
95.16 110.25 0.0422709 -1.52589e-05 0.0422709 -0.018 
95.1 110.72 0.042269 -1.52589e-05 0.042269 -0.018 
95.04 110.72 0.0422671 -1.52589e-05 0.0422671 -0.018 
94.98 110.72 0.0422652 -1.52589e-05 0.0422652 -0.018 
94.92 110.98 0.0422652 -1.52589e-05 0.0422652 -0.018 
94.86 111.24 0.0422633 -1.52589e-05 0.0422633 -0.018 
94.81 110.93 0.0422614 -1.52589e-05 0.0422614 -0.018 
94.75 110.72 0.0422614 -1.52589e-05 0.0422614 -0.018 
94.69 110.72 0.0422595 -1.52589e-05 0.0422595 -0.018 
94.64 110.51 0.0422575 -1.52589e-05 0.0422575 -0.018 
94.59 110.19 0.0422556 -1.52589e-05 0.0422556 -0.018 
94.53 110.19 0.0422537 -1.52589e-05 0.0422537 -0.018 
94.47 109.73 0.0422537 -1.52589e-05 0.0422537 -0.018 
94.42 109.67 0.0422518 -1.52589e-05 0.0422518 -0.018 
94.36 109.67 0.0422518 -1.52589e-05 0.0422518 -0.018 
94.3 109.67 0.0422499 -1.52589e-05 0.0422499 -0.018 
94.24 109.67 0.042248 -1.52589e-05 0.042248 -0.018 
94.19 109.67 0.0422442 -1.52589e-05 0.0422442 -0.018 
94.13 109.67 0.0422366 -1.52589e-05 0.0422366 -0.018 
94.08 109.67 0.042227 -1.52589e-05 0.042227 -0.018 
94.0 108.69 0.0422213 -1.52589e-05 0.0422213 -0.018 
93.92 108.64 0.0422175 -1.52589e-05 0.0422175 -0.018 
93.83 108.13 0.0422137 -1.52589e-05 0.0422137 -0.018 
93.75 108.13 0.0422118 -1.52589e-05 0.0422118 -0.018 
93.66 108.13 0.042208 -1.52589e-05 0.042208 -0.018 
93.58 108.13 0.042227 -1.52589e-05 0.042227 -0.018 
93.49 107.72 0.0424235 -1.52589e-05 0.0424235 -0.018 
93.41 107.62 0.0424693 -1.52589e-05 0.0424693 -0.018 
93.32 107.62 0.0424731 -1.52589e-05 0.0424731 -0.018 
93.23 107.62 0.0424731 -1.52589e-05 0.0424731 -0.018 
93.15 107.11 0.0424693 -1.52589e-05 0.0424693 -0.018 
93.07 107.11 0.0424654 -1.52589e-05 0.0424654 -0.018 
92.98 107.11 0.0424635 -1.52589e-05 0.0424635 -0.018 
92.89 107.11 0.0424597 -1.52589e-05 0.0424597 -0.018 
