T_set(K) T_real(K) X1(V) Y1(V) R1(V) Theta1(deg) X2(V) Y2(V) R2(V) Theta2(deg)
114.97 102.12 0.00212671 9.29838e-06 0.00212671 0.252 0.0474989 -1.52589e-05 0.0474989 -0.018 
116.0 102.6 0.00212695 9.29838e-06 0.00212695 0.252 0.0475333 -1.52589e-05 0.0475333 -0.018 
116.98 103.08 0.00212719 9.29838e-06 0.00212719 0.258 0.0475695 -1.52589e-05 0.0475695 -0.018 
117.97 103.33 0.00212742 9.29838e-06 0.00212742 0.258 0.0476 -1.52589e-05 0.0476 -0.018 
118.98 103.57 0.00212766 9.29838e-06 0.00212766 0.258 0.0476344 -1.52589e-05 0.0476344 -0.018 
119.99 104.56 0.00212766 9.29838e-06 0.00212766 0.258 0.0476687 -1.52589e-05 0.0476687 -0.018 
120.97 105.05 0.0021279 9.29838e-06 0.0021279 0.258 0.0477049 -1.52589e-05 0.0477049 -0.018 
121.98 104.56 0.00212814 9.29838e-06 0.00212814 0.258 0.0477431 -1.52589e-05 0.0477431 -0.018 
122.98 105.05 0.00212838 9.29838e-06 0.00212838 0.252 0.0477831 -1.52589e-05 0.0477831 -0.018 
123.97 106.6 0.00212885 9.29838e-06 0.00212885 0.252 0.0478213 -1.52589e-05 0.0478213 -0.018 
124.98 106.6 0.00212933 9.29838e-06 0.00212933 0.252 0.0478613 -1.71663e-05 0.0478613 -0.018 
125.98 107.11 0.00212957 9.5368e-06 0.00212957 0.258 0.0479014 -1.71663e-05 0.0479014 -0.018 
126.97 108.64 0.00213005 9.5368e-06 0.00213005 0.258 0.0479434 -1.71663e-05 0.0479434 -0.018 
127.98 108.64 0.00213052 9.5368e-06 0.00213052 0.258 0.0479853 -1.71663e-05 0.0479853 -0.018 
128.96 109.67 0.002131 9.5368e-06 0.002131 0.258 0.0480292 -1.71663e-05 0.0480292 -0.018 
129.69 109.67 0.00213148 9.5368e-06 0.00213148 0.258 0.0480559 -1.71663e-05 0.0480559 -0.018 
129.83 109.67 0.00213148 9.5368e-06 0.00213148 0.258 0.0480616 -1.71663e-05 0.0480616 -0.018 
131.96 112.83 0.00213625 9.77522e-06 0.00213625 0.264 0.0482962 -1.71663e-05 0.0482962 -0.018 
