T_set(K) T_real(K) X1(V) Y1(V) R1(V) Theta1(deg) X2(V) Y2(V) R2(V) Theta2(deg)
1.0 1.97 0.00203849 7.86787e-06 0.00203849 0.222 0.0424979 -7.62945e-06 0.0424979 -0.006 
2.86 2.89 0.00203635 7.86787e-06 0.00203635 0.222 0.0424635 -5.72208e-06 0.0424635 -0.006 
3.75 4.01 0.00203444 7.62945e-06 0.00203444 0.222 0.042433 -5.72208e-06 0.042433 -0.006 
4.65 5.02 0.00203301 7.62945e-06 0.00203301 0.222 0.0424082 -5.72208e-06 0.0424082 -0.006 
5.55 6.03 0.00203206 7.62945e-06 0.00203206 0.222 0.0423892 -5.72208e-06 0.0423892 -0.006 
6.22 6.61 0.00203182 7.62945e-06 0.00203182 0.222 0.0423834 -5.72208e-06 0.0423834 -0.006 
7.34 7.98 0.0020311 7.62945e-06 0.0020311 0.222 0.0423663 -5.72208e-06 0.0423663 -0.006 
8.23 8.85 0.00203086 7.62945e-06 0.00203086 0.222 0.0423605 -5.72208e-06 0.0423605 -0.006 
8.31 8.89 0.00203086 7.62945e-06 0.00203086 0.222 0.0423605 -5.72208e-06 0.0423605 -0.006 
8.79 9.11 0.00203086 7.62945e-06 0.00203086 0.222 0.0423605 -5.72208e-06 0.0423605 -0.006 
10.93 11.39 0.00203086 7.62945e-06 0.00203086 0.222 0.0423605 -5.72208e-06 0.0423605 -0.006 
11.82 12.24 0.00203086 7.86787e-06 0.00203086 0.228 0.0423663 -5.72208e-06 0.0423663 -0.006 
12.73 13.11 0.00203134 7.86787e-06 0.00203134 0.228 0.0423739 -5.72208e-06 0.0423739 -0.006 
13.62 14.01 0.00203158 7.86787e-06 0.00203158 0.228 0.0423853 -5.72208e-06 0.0423853 -0.006 
14.52 14.7 0.00203182 7.86787e-06 0.00203182 0.228 0.0423968 -5.72208e-06 0.0423968 -0.006 
15.42 15.47 0.00203253 7.86787e-06 0.00203253 0.228 0.0424101 -5.72208e-06 0.0424101 -0.006 
16.31 16.12 0.00203301 7.86787e-06 0.00203301 0.228 0.0424254 -5.72208e-06 0.0424254 -0.006 
17.23 17.1 0.00203349 7.86787e-06 0.00203349 0.228 0.0424445 -5.72208e-06 0.0424445 -0.006 
18.11 17.93 0.00203325 7.86787e-06 0.00203325 0.228 0.0424635 -5.72208e-06 0.0424635 -0.006 
19.01 18.6 0.00203396 7.86787e-06 0.00203396 0.228 0.0424845 -5.72208e-06 0.0424845 -0.006 
19.9 19.21 0.00203468 7.86787e-06 0.00203468 0.228 0.0425074 -5.72208e-06 0.0425074 -0.006 
20.82 20.03 0.00203516 7.86787e-06 0.00203516 0.228 0.0425303 -5.72208e-06 0.0425303 -0.006 
